title,description,sector,foundation_year,location,url,page
4K-MEMS Sàrl,I offer a novel micro-infrared emitter for chemical sensing,Engineering,2020,St Blaise,unknown,0
nubana AG,App for day care centers,unknown,2018,Wettingen,https://nubana.ch/,0
Smartcanula Sàrl,unknown,Engineering,2004,Lausanne,http://www.smartcanula.com,0
Mediaa Ads AG,Geofencing out of home infotainment,Software,2016,Basel,https://mediaa.ch/,0
Scewo AG,Stair climbing wheelchair.,Medtech,2017,Winterthur,https://scewo.ch/,0
senseFly SA ,Smart flying cameras,Engineering,2009,Cheseaux-Lausanne,http://www.sensefly.com,0
Xeltis AG,Bioabsorbable synthetic heart valves and vascular grafts,Medtech,2006,Zürich,http://xeltis.com,0
AAAccell AG ,Cutting-edge technology in asset and risk management,Fintech,2017,Zürich,http://aaaccell.ch/,0
Medical Templates AG,A simple and cost-effective solution for needle guidance,Medtech,2015,Egg,http://www.medicaltemplates.ch/,0
Eurolactis SA,Transforming the market of donkey's milk,unknown,2007,Lausanne,http://www.eurolactis.com,0
Culture Collection of Switzerland AG,Providing biological material for work with microbial strains and nucleic acids,Biotech,2010,Wädenswil,http://www.ccos.ch,0
The Singularity Group AG,Rethink Innovation Investments,Fintech,2017,Zurich,https://www.singularity-group.com/,0
Speedgoat GmbH,Real-time simulation and testing,Engineering,2007,Liebefeld,http://www.speedgoat.ch,1
RODANOTECH Sàrl,Late Phase &amp; Beyond,Biotech,2007,Genève,https://www.rodanotech.ch/,1
CryptoEasy GmbH,Meet the best personalised advisor in your crypto investor journey,Fintech,2018,Carouge,unknown,1
Timly Software AG,Smart cloud-based resource management for enterprises,Software,2020,Zürich,https://timly.com/,1
9T Labs AG,3D carbon fiber printing technology,EngineeringCleantech,2018,Zurich,http://www.9tlabs.com,1
Rigi Technologies SA,Universal drone logistics,EngineeringCleantech,2016,Prilly,http://www.rigi.tech,1
Yabbedoo SA,Mobile applications for concierge services,Software,2011,Genève,http://www.yabbedoo.com,1
Gastros Switzerland AG,Innovative system induction based in order to keep food warm at a buffet,unknown,2010,Zurich,https://www.gastros.swiss/home,1
smartprimes GmbH,Advanced information security,Software,2011,Winterthur,http://www.smartprimes.ch,1
Finox AG ,Fertility solutions,unknown,2007,Kirchberg,http://finoxbiotech.com/,1
Fanpictor AG,Fan engagement software,unknown,2012,zürich,http://www.fanpictor.com,1
Green Motion SA,Electric vehicle recharging stations,Cleantech,2009,Le Mont-sur-Lausanne,http://www.greenmotion.ch,1
Telormedix SA,Targeted immunity in the treatment of cancer and other diseases,Biotech,2007,Bioggio,http://www.telormedix.com,2
Mila AG ,Marketplace for local and trusted services,unknown,2013,Zurich,http://www.mila.com,2
katia SA,Fighting unwanted calls,unknown,2015,Martigny,http://www.katia.ch,2
Archilyse AG,Architecture analysis and simulation,Software,2017,Zürich,https://www.archilyse.com/,2
